timestamp,domain,district,ward,service_type,demand_requests,resource_availability,gap,response_time_minutes,citizen_complaints,day_of_week,month,is_weekend,is_monsoon,population_factor,urban_ratio
2025-01-13,Health,Kolhapur,Ward_8,Disease_Dengue,2,1,1,36.72,3,0,1,0,0,1.1,0.38
2025-05-24,Health,Nashik,Ward_2,OPD_General,91,85,6,41.63,1,5,5,1,0,1.3,0.45
2024-09-04,Health,Pune,Ward_10,Hospital_Bed_ICU,21,18,3,65.97,1,2,9,0,1,2.0,0.65
2024-03-08,Health,Nashik,Ward_8,Ambulance_Emergency,22,16,6,33.82,5,4,3,0,0,1.3,0.45
2024-02-19,Health,Kolhapur,Ward_2,Hospital_Bed_General,35,31,4,53.02,1,0,2,0,0,1.1,0.38
2024-05-13,Health,Pune,Ward_12,Ambulance_Emergency,36,24,12,4.27,7,0,5,0,0,2.0,0.65
2025-02-05,Health,Thane,Ward_6,Hospital_Bed_General,132,107,25,50.45,3,2,2,0,0,2.2,0.75
2025-08-01,Health,Mumbai,Ward_17,Ambulance_Emergency,110,82,28,13.8,3,4,8,0,1,2.5,1.0
2025-04-05,Health,Nagpur,Ward_8,Disease_Dengue,2,1,1,67.52,4,5,4,1,0,1.5,0.6
2023-06-09,Health,Mumbai,Ward_9,Hospital_Bed_General,269,220,49,13.79,1,4,6,0,1,2.5,1.0
2023-04-12,Health,Kolhapur,Ward_6,Disease_Malaria,1,0,1,19.75,10,2,4,0,0,1.1,0.38
2023-11-18,Health,Solapur,Ward_3,Hospital_Bed_ICU,3,2,1,107.4,4,5,11,1,0,1.0,0.35
2024-01-22,Health,Pune,Ward_15,Hospital_Bed_ICU,19,13,6,17.8,5,0,1,0,0,2.0,0.65
2024-08-28,Health,Mumbai,Ward_13,Ambulance_Emergency,159,129,30,3.39,1,2,8,0,1,2.5,1.0
2023-11-01,Health,Aurangabad,Ward_6,Disease_Malaria,1,0,1,25.32,10,2,11,0,0,1.2,0.4
2025-04-18,Health,Mumbai,Ward_19,OPD_General,602,438,164,41.46,5,4,4,0,0,2.5,1.0
2025-07-12,Health,Mumbai,Ward_18,Disease_Malaria,11,8,3,60.3,0,5,7,1,1,2.5,1.0
2023-07-28,Health,Nashik,Ward_10,Disease_Malaria,5,3,2,41.96,5,4,7,0,1,1.3,0.45
2024-01-11,Health,Pune,Ward_14,Ambulance_Emergency,46,42,4,20.65,1,3,1,0,0,2.0,0.65
2025-03-22,Health,Nagpur,Ward_3,OPD_Pediatric,44,38,6,24.78,0,5,3,1,0,1.5,0.6
2025-08-06,Health,Thane,Ward_13,Disease_Malaria,4,2,2,9.71,5,2,8,0,1,2.2,0.75
2025-01-01,Health,Solapur,Ward_2,OPD_Pediatric,45,39,6,30.66,4,2,1,0,0,1.0,0.35
2023-02-02,Health,Nagpur,Ward_10,Disease_Dengue,3,2,1,20.33,2,3,2,0,0,1.5,0.6
2024-06-25,Health,Nashik,Ward_6,OPD_General,190,126,64,15.39,3,1,6,0,1,1.3,0.45
2024-03-07,Health,Pune,Ward_6,Disease_Malaria,6,5,1,69.44,4,3,3,0,0,2.0,0.65
2023-10-20,Health,Pune,Ward_14,Disease_Dengue,2,1,1,35.05,6,4,10,0,0,2.0,0.65
2025-08-26,Health,Nagpur,Ward_7,OPD_Pediatric,87,68,19,64.02,1,1,8,0,1,1.5,0.6
2023-06-12,Health,Nashik,Ward_9,Disease_Malaria,5,3,2,29.23,5,0,6,0,1,1.3,0.45
2024-07-12,Health,Kolhapur,Ward_8,Ambulance_Emergency,21,14,7,10.9,3,4,7,0,1,1.1,0.38
2024-06-27,Health,Nagpur,Ward_1,Hospital_Bed_ICU,17,16,1,16.04,0,3,6,0,1,1.5,0.6
2024-07-11,Health,Nashik,Ward_2,Ambulance_Emergency,28,24,4,0.83,0,3,7,0,1,1.3,0.45
2024-07-02,Health,Solapur,Ward_2,Hospital_Bed_General,37,28,9,24.14,6,1,7,0,1,1.0,0.35
2023-10-29,Health,Pune,Ward_9,OPD_General,216,182,34,33.63,0,6,10,1,0,2.0,0.65
2023-08-19,Health,Nashik,Ward_6,Ambulance_Emergency,13,9,4,32.57,4,5,8,1,1,1.3,0.45
2023-09-30,Health,Nagpur,Ward_8,OPD_General,181,113,68,88.2,2,5,9,1,1,1.5,0.6
2024-12-25,Health,Nagpur,Ward_10,OPD_Pediatric,105,73,32,72.28,1,2,12,0,0,1.5,0.6
2023-04-17,Health,Nagpur,Ward_5,Hospital_Bed_General,81,63,18,60.66,2,0,4,0,0,1.5,0.6
2024-12-17,Health,Mumbai,Ward_13,Hospital_Bed_ICU,45,40,5,25.49,0,1,12,0,0,2.5,1.0
2025-04-23,Health,Nagpur,Ward_5,Hospital_Bed_General,52,34,18,36.7,4,2,4,0,0,1.5,0.6
2025-10-26,Health,Aurangabad,Ward_1,OPD_Pediatric,23,15,8,21.75,4,6,10,1,0,1.2,0.4
2023-01-24,Health,Solapur,Ward_3,Hospital_Bed_General,33,25,8,41.51,3,1,1,0,0,1.0,0.35
2025-06-27,Health,Pune,Ward_3,Hospital_Bed_General,119,99,20,70.52,0,4,6,0,1,2.0,0.65
2025-03-14,Health,Mumbai,Ward_24,OPD_General,595,429,166,24.9,1,4,3,0,0,2.5,1.0
2023-12-29,Health,Nashik,Ward_7,OPD_General,222,177,45,29.17,2,4,12,0,0,1.3,0.45
2024-03-29,Health,Pune,Ward_3,OPD_Pediatric,127,111,16,54.95,1,4,3,0,0,2.0,0.65
2023-10-07,Health,Aurangabad,Ward_6,Disease_Malaria,1,0,1,42.12,10,5,10,1,0,1.2,0.4
2024-05-26,Health,Nashik,Ward_5,Disease_Dengue,1,0,1,23.01,10,6,5,1,0,1.3,0.45
2024-04-19,Health,Pune,Ward_8,Hospital_Bed_General,106,99,7,42.25,2,4,4,0,0,2.0,0.65
2024-09-16,Health,Pune,Ward_6,Disease_Dengue,9,7,2,68.79,2,0,9,0,1,2.0,0.65
2024-11-07,Health,Pune,Ward_5,OPD_Pediatric,96,61,35,44.79,4,3,11,0,0,2.0,0.65
2025-09-21,Health,Pune,Ward_3,OPD_General,255,232,23,58.41,1,6,9,1,1,2.0,0.65
2025-03-30,Health,Nashik,Ward_11,OPD_General,91,84,7,27.25,0,6,3,1,0,1.3,0.45
2024-01-09,Health,Aurangabad,Ward_5,OPD_General,185,121,64,65.83,5,1,1,0,0,1.2,0.4
2025-10-08,Health,Aurangabad,Ward_6,OPD_Pediatric,29,25,4,32.18,1,2,10,0,0,1.2,0.4
2023-02-18,Health,Pune,Ward_8,OPD_General,307,222,85,83.74,2,5,2,1,0,2.0,0.65
2023-02-12,Health,Kolhapur,Ward_3,Ambulance_Emergency,6,5,1,13.61,0,6,2,1,0,1.1,0.38
2024-02-29,Health,Aurangabad,Ward_8,Hospital_Bed_General,42,29,13,35.95,2,3,2,0,0,1.2,0.4
2023-03-30,Health,Mumbai,Ward_6,OPD_General,637,410,227,31.51,2,3,3,0,0,2.5,1.0
2024-05-12,Health,Nashik,Ward_8,Hospital_Bed_ICU,4,3,1,50.41,4,6,5,1,0,1.3,0.45
2025-01-04,Health,Aurangabad,Ward_8,OPD_Pediatric,29,26,3,63.03,2,5,1,1,0,1.2,0.4
2025-01-12,Health,Thane,Ward_17,Hospital_Bed_General,77,63,14,36.9,3,6,1,1,0,2.2,0.75
2025-07-24,Health,Aurangabad,Ward_3,Ambulance_Emergency,19,14,5,20.95,2,3,7,0,1,1.2,0.4
2025-05-28,Health,Pune,Ward_12,OPD_General,341,291,50,12.24,1,2,5,0,0,2.0,0.65
2025-06-27,Health,Mumbai,Ward_1,Ambulance_Emergency,136,82,54,2.91,5,4,6,0,1,2.5,1.0
2023-05-19,Health,Nashik,Ward_6,Disease_Dengue,4,2,2,78.49,8,4,5,0,0,1.3,0.45
2025-04-13,Health,Pune,Ward_1,Disease_Dengue,4,2,2,29.77,3,6,4,1,0,2.0,0.65
2024-05-14,Health,Nashik,Ward_4,OPD_General,156,105,51,37.7,6,1,5,0,0,1.3,0.45
2025-10-02,Health,Kolhapur,Ward_8,Hospital_Bed_ICU,6,4,2,51.91,3,3,10,0,0,1.1,0.38
2023-03-18,Health,Nashik,Ward_5,Hospital_Bed_ICU,6,5,1,31.61,2,5,3,1,0,1.3,0.45
2023-04-02,Health,Thane,Ward_7,Disease_Dengue,4,2,2,108.92,6,6,4,1,0,2.2,0.75
2024-11-23,Health,Nagpur,Ward_2,Disease_Dengue,3,2,1,56.58,3,5,11,1,0,1.5,0.6
2025-10-11,Health,Aurangabad,Ward_7,Disease_Malaria,1,0,1,101.46,10,5,10,1,0,1.2,0.4
2025-06-09,Health,Nagpur,Ward_5,OPD_Pediatric,84,63,21,44.19,1,0,6,0,1,1.5,0.6
2025-09-22,Health,Solapur,Ward_1,Ambulance_Emergency,19,18,1,14.26,0,0,9,0,1,1.0,0.35
2023-04-11,Health,Nagpur,Ward_5,Ambulance_Emergency,32,28,4,4.0,0,1,4,0,0,1.5,0.6
2023-04-27,Health,Solapur,Ward_8,OPD_Pediatric,22,14,8,58.61,3,3,4,0,0,1.0,0.35
2025-05-30,Health,Nagpur,Ward_2,OPD_Pediatric,70,46,24,30.81,2,4,5,0,0,1.5,0.6
2024-01-18,Health,Pune,Ward_3,Hospital_Bed_General,94,75,19,33.3,3,3,1,0,0,2.0,0.65
2025-06-29,Health,Thane,Ward_1,Hospital_Bed_ICU,15,12,3,29.78,0,6,6,1,1,2.2,0.75
2024-02-09,Health,Nagpur,Ward_1,Disease_Malaria,1,0,1,137.0,10,4,2,0,0,1.5,0.6
2023-02-24,Health,Solapur,Ward_4,Hospital_Bed_ICU,7,5,2,52.76,3,4,2,0,0,1.0,0.35
2025-10-04,Health,Pune,Ward_1,Hospital_Bed_ICU,14,9,5,30.24,4,5,10,1,0,2.0,0.65
2024-03-04,Health,Thane,Ward_7,Hospital_Bed_General,108,80,28,83.81,3,0,3,0,0,2.2,0.75
2023-12-27,Health,Pune,Ward_8,Disease_Malaria,6,5,1,29.33,0,2,12,0,0,2.0,0.65
2025-09-07,Health,Mumbai,Ward_22,Hospital_Bed_General,126,102,24,34.58,0,6,9,1,1,2.5,1.0
2025-01-03,Health,Nashik,Ward_6,Disease_Dengue,5,3,2,31.36,1,4,1,0,0,1.3,0.45
2024-05-24,Health,Mumbai,Ward_20,OPD_General,562,429,133,39.46,6,4,5,0,0,2.5,1.0
2025-08-15,Health,Aurangabad,Ward_6,Disease_Dengue,10,6,4,25.31,1,4,8,0,1,1.2,0.4
2024-03-25,Health,Mumbai,Ward_10,Disease_Dengue,7,5,2,62.08,2,0,3,0,0,2.5,1.0
2023-12-12,Health,Thane,Ward_7,Hospital_Bed_ICU,24,21,3,136.77,1,1,12,0,0,2.2,0.75
2024-05-07,Health,Mumbai,Ward_6,Hospital_Bed_General,182,137,45,50.2,2,1,5,0,0,2.5,1.0
2023-01-03,Health,Aurangabad,Ward_8,OPD_Pediatric,61,47,14,45.11,2,1,1,0,0,1.2,0.4
2025-08-10,Health,Thane,Ward_12,Hospital_Bed_General,104,80,24,34.3,0,6,8,1,1,2.2,0.75
2023-06-19,Health,Nagpur,Ward_5,Hospital_Bed_ICU,15,12,3,39.57,0,0,6,0,1,1.5,0.6
2023-05-08,Health,Mumbai,Ward_2,OPD_Pediatric,167,112,55,70.58,4,0,5,0,0,2.5,1.0
2024-08-22,Health,Thane,Ward_10,Hospital_Bed_General,188,171,17,46.81,2,3,8,0,1,2.2,0.75
2024-05-20,Health,Aurangabad,Ward_3,OPD_Pediatric,44,35,9,39.4,2,0,5,0,0,1.2,0.4
2023-12-25,Health,Nashik,Ward_8,OPD_General,223,165,58,100.08,4,0,12,0,0,1.3,0.45
2024-01-07,Health,Nagpur,Ward_10,Hospital_Bed_ICU,4,3,1,33.98,1,6,1,1,0,1.5,0.6
2023-03-03,Health,Mumbai,Ward_3,Disease_Malaria,10,6,4,20.23,4,4,3,0,0,2.5,1.0
2024-06-08,Health,Kolhapur,Ward_8,Disease_Dengue,2,1,1,48.89,5,5,6,1,1,1.1,0.38
2024-08-12,Health,Kolhapur,Ward_5,OPD_General,142,115,27,27.22,1,0,8,0,1,1.1,0.38
2025-02-27,Health,Thane,Ward_5,Disease_Malaria,1,0,1,44.2,10,3,2,0,0,2.2,0.75
2024-06-11,Health,Aurangabad,Ward_2,Disease_Dengue,2,1,1,28.19,5,1,6,0,1,1.2,0.4
2024-09-01,Health,Pune,Ward_1,Ambulance_Emergency,38,35,3,12.1,0,6,9,1,1,2.0,0.65
2023-09-10,Health,Mumbai,Ward_11,Hospital_Bed_ICU,23,16,7,57.68,0,6,9,1,1,2.5,1.0
2024-09-11,Health,Thane,Ward_5,Ambulance_Emergency,60,52,8,10.25,0,2,9,0,1,2.2,0.75
2025-06-24,Health,Aurangabad,Ward_5,OPD_Pediatric,43,39,4,46.79,1,1,6,0,1,1.2,0.4
2025-06-28,Health,Thane,Ward_15,Disease_Dengue,9,8,1,80.53,1,5,6,1,1,2.2,0.75
2023-06-23,Health,Nashik,Ward_2,Disease_Malaria,2,1,1,91.99,2,4,6,0,1,1.3,0.45
2025-05-30,Health,Kolhapur,Ward_2,Disease_Malaria,1,0,1,10.96,10,4,5,0,0,1.1,0.38
2024-07-23,Health,Aurangabad,Ward_7,Disease_Malaria,2,1,1,8.0,6,1,7,0,1,1.2,0.4
2024-02-21,Health,Nashik,Ward_6,OPD_Pediatric,70,48,22,86.3,4,2,2,0,0,1.3,0.45
2025-07-20,Health,Aurangabad,Ward_6,OPD_Pediatric,32,29,3,26.21,1,6,7,1,1,1.2,0.4
2023-08-26,Health,Nashik,Ward_8,Ambulance_Emergency,15,11,4,5.43,1,5,8,1,1,1.3,0.45
2024-11-08,Health,Nashik,Ward_6,Disease_Dengue,2,1,1,49.19,7,4,11,0,0,1.3,0.45
2025-08-05,Health,Nashik,Ward_9,Hospital_Bed_ICU,12,9,3,81.74,3,1,8,0,1,1.3,0.45
2024-08-27,Health,Kolhapur,Ward_8,Hospital_Bed_General,42,37,5,34.01,2,1,8,0,1,1.1,0.38
2025-09-14,Health,Pune,Ward_6,Hospital_Bed_ICU,14,8,6,29.44,4,6,9,1,1,2.0,0.65
2024-04-20,Health,Thane,Ward_12,Ambulance_Emergency,32,26,6,26.5,0,5,4,1,0,2.2,0.75
2023-04-03,Health,Mumbai,Ward_3,Hospital_Bed_ICU,42,39,3,14.81,2,0,4,0,0,2.5,1.0
2024-08-08,Health,Thane,Ward_16,Hospital_Bed_ICU,25,16,9,67.02,4,3,8,0,1,2.2,0.75
2023-07-15,Health,Nashik,Ward_7,Disease_Dengue,8,6,2,57.7,3,5,7,1,1,1.3,0.45
2024-07-04,Health,Mumbai,Ward_21,OPD_Pediatric,256,242,14,36.87,1,3,7,0,1,2.5,1.0
2024-12-31,Health,Aurangabad,Ward_8,OPD_Pediatric,66,53,13,38.74,2,1,12,0,0,1.2,0.4
2025-02-11,Health,Solapur,Ward_7,OPD_General,131,86,45,118.55,3,1,2,0,0,1.0,0.35
2023-12-04,Health,Nashik,Ward_11,Disease_Malaria,1,0,1,74.58,10,0,12,0,0,1.3,0.45
