timestamp,domain,district,ward,service_type,incidents_reported,incidents_resolved,response_time_minutes,severity_level,day_of_week,month,is_weekend,population_factor,urban_ratio
2023-02-23,PublicSafety,Kolhapur,Ward_4,Disaster_Alert,1,0,18.51,High,3,2,0,1.1,0.38
2024-05-30,PublicSafety,Solapur,Ward_8,Police_Traffic_Accident,19,16,13.59,Low,3,5,0,1.0,0.35
2024-02-13,PublicSafety,Aurangabad,Ward_8,Emergency_Helpline_Call,148,133,12.24,Medium,1,2,0,1.2,0.4
2024-11-02,PublicSafety,Pune,Ward_1,Emergency_Helpline_Call,280,258,13.98,Critical,5,11,1,2.0,0.65
2023-12-07,PublicSafety,Kolhapur,Ward_1,Fire_Emergency,9,7,3.3,Medium,3,12,0,1.1,0.38
2025-02-27,PublicSafety,Kolhapur,Ward_4,Emergency_Helpline_Call,163,120,15.44,Low,3,2,0,1.1,0.38
2025-10-22,PublicSafety,Solapur,Ward_6,Police_Crime_Report,68,60,20.37,Medium,2,10,0,1.0,0.35
2023-07-17,PublicSafety,Thane,Ward_2,Fire_Emergency,21,19,2.92,Medium,0,7,0,2.2,0.75
2023-11-23,PublicSafety,Nashik,Ward_1,Fire_Emergency,9,8,12.92,Low,3,11,0,1.3,0.45
2025-02-02,PublicSafety,Solapur,Ward_3,Police_Traffic_Accident,24,18,30.6,Medium,6,2,1,1.0,0.35
2023-11-18,PublicSafety,Nashik,Ward_4,Emergency_Helpline_Call,183,176,20.29,Low,5,11,1,1.3,0.45
2024-12-12,PublicSafety,Kolhapur,Ward_4,Police_Traffic_Accident,44,38,18.05,Critical,3,12,0,1.1,0.38
2025-01-16,PublicSafety,Nashik,Ward_7,Disaster_Alert,1,0,6.39,Low,3,1,0,1.3,0.45
2023-01-09,PublicSafety,Nagpur,Ward_7,Police_Traffic_Accident,46,34,20.67,Critical,0,1,0,1.5,0.6
2025-05-14,PublicSafety,Nagpur,Ward_1,Fire_Emergency,17,13,7.2,Low,2,5,0,1.5,0.6
2023-01-16,PublicSafety,Kolhapur,Ward_7,Fire_Emergency,13,9,24.05,Low,0,1,0,1.1,0.38
2025-04-05,PublicSafety,Nagpur,Ward_9,Fire_Emergency,25,18,4.85,Medium,5,4,1,1.5,0.6
2025-08-14,PublicSafety,Mumbai,Ward_23,Police_Crime_Report,195,142,17.96,Low,3,8,0,2.5,1.0
2023-05-30,PublicSafety,Nashik,Ward_2,Police_Crime_Report,78,72,17.23,Low,1,5,0,1.3,0.45
2023-08-24,PublicSafety,Aurangabad,Ward_1,Fire_Emergency,10,8,21.33,High,3,8,0,1.2,0.4
2023-12-18,PublicSafety,Solapur,Ward_8,Disaster_Alert,2,1,47.53,Medium,0,12,0,1.0,0.35
2024-11-02,PublicSafety,Nagpur,Ward_2,Police_Crime_Report,78,57,26.32,Low,5,11,1,1.5,0.6
2024-06-17,PublicSafety,Nashik,Ward_11,Disaster_Alert,1,0,18.95,Medium,0,6,0,1.3,0.45
2025-02-06,PublicSafety,Thane,Ward_11,Police_Crime_Report,127,113,35.33,Medium,3,2,0,2.2,0.75
2024-01-01,PublicSafety,Nagpur,Ward_4,Fire_Emergency,15,13,9.61,Low,0,1,0,1.5,0.6
2024-08-14,PublicSafety,Thane,Ward_13,Fire_Emergency,21,18,9.07,Low,2,8,0,2.2,0.75
2024-04-30,PublicSafety,Aurangabad,Ward_2,Fire_Emergency,12,9,15.45,Low,1,4,0,1.2,0.4
2025-08-27,PublicSafety,Pune,Ward_6,Police_Traffic_Accident,66,64,9.29,Low,2,8,0,2.0,0.65
2024-08-24,PublicSafety,Aurangabad,Ward_7,Disaster_Alert,4,3,68.11,Low,5,8,1,1.2,0.4
2023-10-27,PublicSafety,Solapur,Ward_7,Disaster_Alert,2,1,12.73,High,4,10,0,1.0,0.35
2025-07-18,PublicSafety,Aurangabad,Ward_4,Police_Traffic_Accident,36,31,46.16,Low,4,7,0,1.2,0.4
2024-04-09,PublicSafety,Nagpur,Ward_9,Emergency_Helpline_Call,247,208,5.39,Critical,1,4,0,1.5,0.6
2023-02-26,PublicSafety,Mumbai,Ward_5,Fire_Emergency,37,32,17.68,Medium,6,2,1,2.5,1.0
2025-04-15,PublicSafety,Nashik,Ward_5,Police_Crime_Report,63,49,23.86,Medium,1,4,0,1.3,0.45
2024-12-26,PublicSafety,Kolhapur,Ward_1,Disaster_Alert,3,2,20.01,Low,3,12,0,1.1,0.38
2024-07-09,PublicSafety,Pune,Ward_3,Fire_Emergency,21,17,11.43,Medium,1,7,0,2.0,0.65
2023-12-26,PublicSafety,Thane,Ward_18,Police_Crime_Report,121,90,23.94,Low,1,12,0,2.2,0.75
2024-09-04,PublicSafety,Kolhapur,Ward_7,Emergency_Helpline_Call,163,153,23.93,Low,2,9,0,1.1,0.38
2024-12-23,PublicSafety,Pune,Ward_10,Police_Traffic_Accident,50,42,76.55,Low,0,12,0,2.0,0.65
2024-09-03,PublicSafety,Mumbai,Ward_1,Disaster_Alert,3,2,55.52,Low,1,9,0,2.5,1.0
2024-04-01,PublicSafety,Pune,Ward_10,Emergency_Helpline_Call,312,298,11.31,Low,0,4,0,2.0,0.65
2023-11-28,PublicSafety,Mumbai,Ward_15,Police_Crime_Report,161,116,48.98,High,1,11,0,2.5,1.0
2024-02-24,PublicSafety,Mumbai,Ward_13,Police_Crime_Report,161,157,28.03,High,5,2,1,2.5,1.0
2023-08-17,PublicSafety,Thane,Ward_4,Fire_Emergency,21,19,1.9,Low,3,8,0,2.2,0.75
2023-06-04,PublicSafety,Nagpur,Ward_3,Police_Traffic_Accident,50,40,37.15,Low,6,6,1,1.5,0.6
2025-07-08,PublicSafety,Kolhapur,Ward_2,Fire_Emergency,11,9,9.58,Medium,1,7,0,1.1,0.38
2025-03-15,PublicSafety,Solapur,Ward_8,Disaster_Alert,5,4,21.65,Medium,5,3,1,1.0,0.35
2024-09-15,PublicSafety,Solapur,Ward_3,Police_Traffic_Accident,19,17,19.48,Low,6,9,1,1.0,0.35
2023-02-28,PublicSafety,Aurangabad,Ward_2,Fire_Emergency,8,5,16.18,Low,1,2,0,1.2,0.4
2023-11-28,PublicSafety,Mumbai,Ward_13,Police_Crime_Report,153,118,60.06,Low,1,11,0,2.5,1.0
2025-06-09,PublicSafety,Solapur,Ward_2,Fire_Emergency,16,12,5.37,Low,0,6,0,1.0,0.35
2025-06-04,PublicSafety,Nashik,Ward_9,Police_Traffic_Accident,39,30,28.06,Medium,2,6,0,1.3,0.45
2024-02-20,PublicSafety,Mumbai,Ward_1,Police_Traffic_Accident,78,68,55.37,High,1,2,0,2.5,1.0
2023-04-22,PublicSafety,Thane,Ward_12,Police_Crime_Report,145,118,27.88,Medium,5,4,1,2.2,0.75
2024-09-30,PublicSafety,Kolhapur,Ward_8,Emergency_Helpline_Call,155,127,20.26,Low,0,9,0,1.1,0.38
2023-12-23,PublicSafety,Pune,Ward_5,Fire_Emergency,13,10,11.5,High,5,12,1,2.0,0.65
2025-01-22,PublicSafety,Nagpur,Ward_6,Emergency_Helpline_Call,210,195,3.55,High,2,1,0,1.5,0.6
2023-03-19,PublicSafety,Kolhapur,Ward_8,Emergency_Helpline_Call,187,176,11.98,Medium,6,3,1,1.1,0.38
2024-01-06,PublicSafety,Aurangabad,Ward_7,Police_Crime_Report,89,63,29.92,Low,5,1,1,1.2,0.4
2024-08-12,PublicSafety,Solapur,Ward_1,Disaster_Alert,2,1,8.24,Medium,0,8,0,1.0,0.35
2024-04-15,PublicSafety,Thane,Ward_16,Police_Crime_Report,148,144,19.11,Medium,0,4,0,2.2,0.75
2025-09-05,PublicSafety,Kolhapur,Ward_7,Emergency_Helpline_Call,147,143,2.59,Medium,4,9,0,1.1,0.38
2023-08-15,PublicSafety,Aurangabad,Ward_2,Fire_Emergency,7,5,6.67,Low,1,8,0,1.2,0.4
2023-09-16,PublicSafety,Nagpur,Ward_7,Police_Crime_Report,89,64,20.97,High,5,9,1,1.5,0.6
2025-08-14,PublicSafety,Nagpur,Ward_3,Police_Traffic_Accident,48,44,35.39,High,3,8,0,1.5,0.6
2023-10-15,PublicSafety,Aurangabad,Ward_3,Police_Crime_Report,73,69,110.35,High,6,10,1,1.2,0.4
2025-06-14,PublicSafety,Mumbai,Ward_5,Disaster_Alert,11,8,26.05,Low,5,6,1,2.5,1.0
2023-01-19,PublicSafety,Pune,Ward_15,Disaster_Alert,10,7,41.18,High,3,1,0,2.0,0.65
2023-01-11,PublicSafety,Solapur,Ward_4,Fire_Emergency,9,6,8.34,Low,2,1,0,1.0,0.35
2023-08-22,PublicSafety,Nashik,Ward_10,Disaster_Alert,1,0,10.96,Medium,1,8,0,1.3,0.45
2025-08-17,PublicSafety,Pune,Ward_7,Police_Traffic_Accident,74,62,10.49,Medium,6,8,1,2.0,0.65
2024-01-17,PublicSafety,Solapur,Ward_4,Police_Crime_Report,44,37,23.73,Low,2,1,0,1.0,0.35
2023-02-13,PublicSafety,Pune,Ward_8,Emergency_Helpline_Call,291,246,30.11,Low,0,2,0,2.0,0.65
2025-10-26,PublicSafety,Aurangabad,Ward_4,Police_Traffic_Accident,41,36,63.86,High,6,10,1,1.2,0.4
2024-08-24,PublicSafety,Nagpur,Ward_5,Police_Traffic_Accident,50,41,46.73,Low,5,8,1,1.5,0.6
2024-06-24,PublicSafety,Mumbai,Ward_1,Police_Crime_Report,191,174,17.11,High,0,6,0,2.5,1.0
2023-02-15,PublicSafety,Pune,Ward_5,Police_Traffic_Accident,58,54,56.34,Low,2,2,0,2.0,0.65
2025-07-12,PublicSafety,Nagpur,Ward_2,Emergency_Helpline_Call,228,220,12.32,Medium,5,7,1,1.5,0.6
2025-02-03,PublicSafety,Kolhapur,Ward_5,Disaster_Alert,3,2,84.77,Medium,0,2,0,1.1,0.38
2025-06-06,PublicSafety,Nashik,Ward_8,Police_Crime_Report,76,61,7.71,Low,4,6,0,1.3,0.45
2024-07-26,PublicSafety,Nashik,Ward_2,Police_Traffic_Accident,42,30,24.65,High,4,7,0,1.3,0.45
2024-04-22,PublicSafety,Solapur,Ward_7,Police_Crime_Report,54,40,47.84,High,0,4,0,1.0,0.35
2024-10-29,PublicSafety,Nagpur,Ward_6,Emergency_Helpline_Call,261,204,8.43,High,1,10,0,1.5,0.6
2025-03-07,PublicSafety,Nagpur,Ward_5,Police_Traffic_Accident,40,35,25.48,Low,4,3,0,1.5,0.6
2023-01-15,PublicSafety,Aurangabad,Ward_5,Emergency_Helpline_Call,175,127,6.49,Critical,6,1,1,1.2,0.4
2024-10-21,PublicSafety,Mumbai,Ward_13,Disaster_Alert,3,2,23.03,Low,0,10,0,2.5,1.0
2025-05-13,PublicSafety,Solapur,Ward_5,Police_Crime_Report,58,56,87.74,Low,1,5,0,1.0,0.35
2023-08-18,PublicSafety,Nagpur,Ward_5,Emergency_Helpline_Call,204,194,10.55,Low,4,8,0,1.5,0.6
2024-07-22,PublicSafety,Solapur,Ward_4,Fire_Emergency,5,4,7.22,Critical,0,7,0,1.0,0.35
2023-05-13,PublicSafety,Kolhapur,Ward_3,Disaster_Alert,1,0,42.13,Medium,5,5,1,1.1,0.38
2025-10-23,PublicSafety,Nashik,Ward_3,Emergency_Helpline_Call,191,183,22.61,Medium,3,10,0,1.3,0.45
2024-12-02,PublicSafety,Thane,Ward_12,Fire_Emergency,12,11,3.4,Low,0,12,0,2.2,0.75
2025-05-22,PublicSafety,Pune,Ward_8,Fire_Emergency,5,4,5.12,Medium,3,5,0,2.0,0.65
2025-10-09,PublicSafety,Mumbai,Ward_10,Disaster_Alert,3,2,53.73,Critical,3,10,0,2.5,1.0
2024-06-22,PublicSafety,Aurangabad,Ward_6,Police_Crime_Report,66,57,22.28,High,5,6,1,1.2,0.4
2024-07-13,PublicSafety,Pune,Ward_13,Emergency_Helpline_Call,333,274,4.4,Low,5,7,1,2.0,0.65
2025-10-24,PublicSafety,Pune,Ward_11,Police_Traffic_Accident,63,57,42.12,Low,4,10,0,2.0,0.65
2024-05-09,PublicSafety,Nashik,Ward_4,Emergency_Helpline_Call,179,144,3.74,High,3,5,0,1.3,0.45
2024-08-04,PublicSafety,Nagpur,Ward_7,Police_Crime_Report,91,72,19.43,Medium,6,8,1,1.5,0.6
2025-01-05,PublicSafety,Aurangabad,Ward_5,Emergency_Helpline_Call,167,147,6.11,Low,6,1,1,1.2,0.4
2024-06-13,PublicSafety,Solapur,Ward_3,Police_Crime_Report,64,51,11.56,Low,3,6,0,1.0,0.35
2023-12-07,PublicSafety,Mumbai,Ward_10,Police_Crime_Report,202,143,29.84,High,3,12,0,2.5,1.0
2023-08-23,PublicSafety,Kolhapur,Ward_4,Fire_Emergency,6,4,9.63,Medium,2,8,0,1.1,0.38
2024-08-05,PublicSafety,Solapur,Ward_3,Police_Traffic_Accident,30,21,40.16,Low,0,8,0,1.0,0.35
2023-04-25,PublicSafety,Thane,Ward_2,Emergency_Helpline_Call,375,298,27.15,High,1,4,0,2.2,0.75
2024-06-30,PublicSafety,Nagpur,Ward_5,Fire_Emergency,17,16,1.51,High,6,6,1,1.5,0.6
2023-02-10,PublicSafety,Thane,Ward_4,Fire_Emergency,30,22,10.87,High,4,2,0,2.2,0.75
2023-12-12,PublicSafety,Kolhapur,Ward_7,Fire_Emergency,9,8,0.43,Medium,1,12,0,1.1,0.38
2025-03-13,PublicSafety,Thane,Ward_2,Emergency_Helpline_Call,369,265,9.52,Low,3,3,0,2.2,0.75
2025-04-01,PublicSafety,Thane,Ward_16,Police_Crime_Report,151,128,67.65,Low,1,4,0,2.2,0.75
2025-08-27,PublicSafety,Thane,Ward_6,Police_Crime_Report,139,105,14.94,Medium,2,8,0,2.2,0.75
2023-11-03,PublicSafety,Mumbai,Ward_11,Disaster_Alert,3,2,20.23,High,4,11,0,2.5,1.0
2024-03-26,PublicSafety,Pune,Ward_10,Emergency_Helpline_Call,355,304,8.23,Medium,1,3,0,2.0,0.65
2024-09-19,PublicSafety,Nagpur,Ward_10,Fire_Emergency,23,21,6.51,Medium,3,9,0,1.5,0.6
2023-10-15,PublicSafety,Solapur,Ward_8,Police_Crime_Report,51,44,14.39,Medium,6,10,1,1.0,0.35
2025-04-12,PublicSafety,Mumbai,Ward_15,Fire_Emergency,41,32,5.01,Medium,5,4,1,2.5,1.0
2023-11-22,PublicSafety,Nashik,Ward_5,Disaster_Alert,4,3,23.67,Medium,2,11,0,1.3,0.45
2025-06-04,PublicSafety,Solapur,Ward_2,Police_Crime_Report,62,47,32.27,Medium,2,6,0,1.0,0.35
2023-10-21,PublicSafety,Pune,Ward_1,Fire_Emergency,13,12,17.48,Low,5,10,1,2.0,0.65
2024-05-12,PublicSafety,Aurangabad,Ward_5,Fire_Emergency,7,5,4.0,Low,6,5,1,1.2,0.4
2024-07-05,PublicSafety,Solapur,Ward_2,Emergency_Helpline_Call,130,109,6.51,Low,4,7,0,1.0,0.35
2024-08-20,PublicSafety,Nagpur,Ward_1,Fire_Emergency,5,4,11.36,Medium,1,8,0,1.5,0.6
2024-03-05,PublicSafety,Aurangabad,Ward_1,Disaster_Alert,1,0,14.37,Medium,1,3,0,1.2,0.4
